,OCC_TITLE,OCC_GROUP
1101,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed
1109,"Grinding and Polishing Workers, Hand",detailed
1132,Legislators,detailed
1143,Compensation and Benefits Managers,detailed
1154,Postmasters and Mail Superintendents,detailed
1159,"Buyers and Purchasing Agents, Farm Products",detailed
1163,"Insurance Appraisers, Auto Damage",detailed
1179,Credit Analysts,detailed
1201,Actuaries,detailed
1203,Statisticians,detailed
1208,Biomedical Engineers,detailed
1217,Materials Engineers,detailed
1234,"Medical Scientists, Except Epidemiologists",detailed
1244,Forensic Science Technicians,detailed
1249,Marriage and Family Therapists,detailed
1265,"Judges, Magistrate Judges, and Magistrates",detailed
1267,Court Reporters,detailed
1269,"Legal Support Workers, All Other",detailed
1272,"Computer Science Teachers, Postsecondary",detailed
1273,"Mathematical Science Teachers, Postsecondary",detailed
1274,"Biological Science Teachers, Postsecondary",detailed
1275,"Chemistry Teachers, Postsecondary",detailed
1276,"Physics Teachers, Postsecondary",detailed
1277,"Psychology Teachers, Postsecondary",detailed
1278,"Education Teachers, Postsecondary",detailed
1279,"Art, Drama, and Music Teachers, Postsecondary",detailed
1280,"Communications Teachers, Postsecondary",detailed
1281,"English Language and Literature Teachers, Postsecondary",detailed
1282,"Foreign Language and Literature Teachers, Postsecondary",detailed
1283,"History Teachers, Postsecondary",detailed
1284,"Philosophy and Religion Teachers, Postsecondary",detailed
1285,"Recreation and Fitness Studies Teachers, Postsecondary",detailed
1293,"Career/Technical Education Teachers, Secondary School",detailed
1295,"Special Education Teachers, Middle School",detailed
1301,Curators,detailed
1308,Art Directors,detailed
1309,Commercial and Industrial Designers,detailed
1317,Public Address System and Other Announcers,detailed
1318,Broadcast News Analysts,detailed
1327,Sound Engineering Technicians,detailed
1329,"Camera Operators, Television, Video, and Motion Picture",detailed
1333,Orthodontists,detailed
1337,Anesthesiologists,detailed
1340,"Pediatricians, General",detailed
1341,Psychiatrists,detailed
1347,Radiation Therapists,detailed
1348,Recreational Therapists,detailed
1353,Nurse Anesthetists,detailed
1355,Audiologists,detailed
1369,Ophthalmic Medical Technicians,detailed
1373,Orthotists and Prosthetists,detailed
1382,Orderlies,detailed
1383,Occupational Therapy Assistants,detailed
1384,Occupational Therapy Aides,detailed
1386,Physical Therapist Aides,detailed
1395,First-Line Supervisors of Correctional Officers,detailed
1400,Fire Inspectors and Investigators,detailed
1401,Bailiffs,detailed
1405,Animal Control Workers,detailed
1406,Private Detectives and Investigators,detailed
1434,Pest Control Workers,detailed
1436,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed
1442,Funeral Attendants,detailed
1443,"Morticians, Undertakers, and Funeral Directors",detailed
1470,Real Estate Brokers,detailed
1473,Telemarketers,detailed
1486,Correspondence Clerks,detailed
1496,New Accounts Clerks,detailed
1506,"Meter Readers, Utilities",detailed
1527,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed
1528,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed
1529,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed
1530,Logging Equipment Operators,detailed
1533,Boilermakers,detailed
1534,Brickmasons and Blockmasons,detailed
1536,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detailed
1537,Tile and Marble Setters,detailed
1540,"Paving, Surfacing, and Tamping Equipment Operators",detailed
1542,Drywall and Ceiling Tile Installers,detailed
1552,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed
1555,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detailed
1556,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed
1557,Helpers--Roofers,detailed
1558,"Helpers, Construction Trades, All Other",detailed
1564,"Explosives Workers, Ordnance Handling Experts, and Blasters",detailed
1565,Continuous Mining Machine Operators,detailed
1566,Mine Cutting and Channeling Machine Operators,detailed
1567,"Roof Bolters, Mining",detailed
1568,Helpers--Extraction Workers,detailed
1569,"Extraction Workers, All Other",detailed
1576,"Electric Motor, Power Tool, and Related Repairers",detailed
1578,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed
1579,Electronic Home Entertainment Equipment Installers and Repairers,detailed
1585,Farm Equipment Mechanics and Service Technicians,detailed
1589,Mechanical Door Repairers,detailed
1595,Millwrights,detailed
1600,"Coin, Vending, and Amusement Machine Servicers and Repairers",detailed
1601,Locksmiths and Safe Repairers,detailed
1606,"Coil Winders, Tapers, and Finishers",detailed
1614,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed
1616,"Computer-Controlled Machine Tool Operators, Metal and Plastic",detailed
1617,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",detailed
1618,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed
1620,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed
1622,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed
1624,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed
1625,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed
1627,Metal-Refining Furnace Operators and Tenders,detailed
1628,"Pourers and Casters, Metal",detailed
1629,"Patternmakers, Metal and Plastic",detailed
1630,Foundry Mold and Coremakers,detailed
